BamID,SampleID,Year,Population,Group
Okrgrosh_4_S283.bam,Okrgrosh_4,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_5_S284.bam,Okrgrosh_5,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_6_S285.bam,Okrgrosh_6,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_7_S286.bam,Okrgrosh_7,2019,OkrayGrosheks40-2019,Okray1
Okrgrosh_9_S287.bam,Okrgrosh_9,2019,OkrayGrosheks40-2019,Okray1
SDS23_076A_S454.bam,SDS23_076A,2023,OkrayGrosheks40-2023,Okray1
SDS23_076B_S455.bam,SDS23_076B,2023,OkrayGrosheks40-2023,Okray1
SDS23_076C_S456.bam,SDS23_076C,2023,OkrayGrosheks40-2023,Okray1
SDS23_076D_S457.bam,SDS23_076D,2023,OkrayGrosheks40-2023,Okray1
SDS23_076E_S458.bam,SDS23_076E,2023,OkrayGrosheks40-2023,Okray1
SDS23_076F_S459.bam,SDS23_076F,2023,OkrayGrosheks40-2023,Okray1
SDS23_076G_S460.bam,SDS23_076G,2023,OkrayGrosheks40-2023,Okray1
SDS23_076H_S461.bam,SDS23_076H,2023,OkrayGrosheks40-2023,Okray1
CPB2015_157A_S553.bam,CPB2015_157A,2015,PFEast-2015,Okray1
CPB2015_157B_S554.bam,CPB2015_157B,2015,PFEast-2015,Okray1
CPB2015_170A_S555.bam,CPB2015_170A,2015,PFEast-2015,Okray1
CPB2015_170B_S556.bam,CPB2015_170B,2015,PFEast-2015,Okray1
CPB2015_216A_S557.bam,CPB2015_216A,2015,PFEast-2015,Okray1
CPB2015_216B_S558.bam,CPB2015_216B,2015,PFEast-2015,Okray1
CPB2015_284A_S559.bam,CPB2015_284A,2015,PFEast-2015,Okray1
CPB2015_284B_S560.bam,CPB2015_284B,2015,PFEast-2015,Okray1
SDS23_072A_S486.bam,SDS23_072A,2023,LaszSE-O14-2023,Okray2
SDS23_072B_S487.bam,SDS23_072B,2023,LaszSE-O14-2023,Okray2
SDS23_072C_S488.bam,SDS23_072C,2023,LaszSE-O14-2023,Okray2
SDS23_072D_S489.bam,SDS23_072D,2023,LaszSE-O14-2023,Okray2
SDS23_072E_S490.bam,SDS23_072E,2023,LaszSE-O14-2023,Okray2
SDS23_072F_S491.bam,SDS23_072F,2023,LaszSE-O14-2023,Okray2
CPB2015_213A_S539.bam,CPB2015_213A,2015,LaszSE-O14-2015,Okray2
CPB2015_213B_S540.bam,CPB2015_213B,2015,LaszSE-O14-2015,Okray2
CPB2015_213C_S541.bam,CPB2015_213C,2015,LaszSE-O14-2015,Okray2
CPB2015_213D_S542.bam,CPB2015_213D,2015,LaszSE-O14-2015,Okray2
CPB2015_213E_S543.bam,CPB2015_213E,2015,LaszSE-O14-2015,Okray2
CPB2015_213F_S544.bam,CPB2015_213F,2015,LaszSE-O14-2015,Okray2
OkrPFWiper_1_S630.bam,OkrPFWiper_1,2019,OkrayPFWiper-2019,Okray2
OkrPFWiper_2_S631.bam,OkrPFWiper_2,2019,OkrayPFWiper-2019,Okray2
OkrPFWiper_3_S632.bam,OkrPFWiper_3,2019,OkrayPFWiper-2019,Okray2
OkrPFWiper_4_S633.bam,OkrPFWiper_4,2019,OkrayPFWiper-2019,Okray2
OkrPFWiper_5_S634.bam,OkrPFWiper_5,2019,OkrayPFWiper-2019,Okray2
OkrPFWiper_6_S635.bam,OkrPFWiper_6,2019,OkrayPFWiper-2019,Okray2
Paramount257_2015105A_S312.bam,Paramount257_2015105A,2015,Paramount257-2015,Paramount
Paramount257_2015105B_S313.bam,Paramount257_2015105B,2015,Paramount257-2015,Paramount
Paramount257_2015105C_S314.bam,Paramount257_2015105C,2015,Paramount257-2015,Paramount
